Date,Country,City,Street,Location,Avg Reliability
"May 30, 2022",BR,Pinhais,null,Point(-49.183164 -25.427505),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.298428 -25.528156),6
"May 30, 2022",BR,São José dos Pinhais,BR-376 N Rod. Henrique Herwig,Point(-49.191527 -25.540165),9
"May 30, 2022",BR,Curitiba,R. Dr. Brasílio Vicente de Castro,Point(-49.335407 -25.438051),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.299402 -25.530245),10
"May 30, 2022",BR,Curitiba,R. Santa Catarina,Point(-49.278804 -25.471056),7
"May 30, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,Point(-49.302531 -25.541493),8
"May 30, 2022",BR,Piraquara,PR-415 Rod. João Leopoldo Jacomel,Point(-49.140142 -25.444989),10
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.297238 -25.525682),6
"May 30, 2022",BR,Curitiba,R. Santa Catarina,Point(-49.279216 -25.470206),7
"May 30, 2022",BR,Curitiba,R. Carmem Miranda,Point(-49.281341 -25.514632),10
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.272503 -25.555584),7
"May 30, 2022",BR,Curitiba,R. Mal. Octávio Saldanha Mazza,Point(-49.296856 -25.523334),6
"May 30, 2022",BR,Curitiba,R. Guararapes,Point(-49.290227 -25.457544),10
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.274214 -25.554802),10
"May 30, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,Point(-49.30368 -25.54635),5
"May 30, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.309205 -25.54225),10
"May 30, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.22487 -25.45459),10
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.274382 -25.554704),5
"May 30, 2022",BR,Curitiba,null,Point(-49.228477 -25.428278),5
"May 30, 2022",BR,Almirante Tamandaré,R. Ver. Wadislau Bugalski,Point(-49.307036 -25.335744),5
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.233318 -25.427953),10
"May 30, 2022",BR,Colombo,R. Pedro Gonshi,Point(-49.210701 -25.3637),5
"May 29, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.340257 -25.507882),10
"May 29, 2022",BR,Curitiba,R. Fernando de Noronha,Point(-49.243521 -25.37703),6
"May 29, 2022",BR,Curitiba,Av. Manoel Ribas,Point(-49.351839 -25.391851),9
"May 29, 2022",BR,Curitiba,R. Oliveira Viana,Point(-49.25394 -25.484851),7
"May 29, 2022",BR,Curitiba,R. Francisco Rocha,Point(-49.297131 -25.428425),10
"May 29, 2022",BR,Curitiba,R. Profa. Izabel Lima de Oliveira,Point(-49.254352 -25.559859),5
"May 29, 2022",BR,Curitiba,null,Point(-49.232827 -25.467824),5
"May 29, 2022",BR,Curitiba,R. Quintino Bocaiúva,Point(-49.249392 -25.407261),9
"May 29, 2022",BR,Curitiba,Av. Munhoz da Rocha,Point(-49.250547 -25.408164),9
"May 29, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.150485 -25.545283),7
"May 29, 2022",BR,Curitiba,R. Raul Pompéia,Point(-49.351347 -25.484524),6
"May 29, 2022",BR,Pinhais,PR-415 Rod. João Leopoldo Jacomel,Point(-49.198296 -25.431784),5
"May 29, 2022",BR,Curitiba,Av. Munhoz da Rocha,Point(-49.249206 -25.407247),9
"May 29, 2022",BR,Curitiba,R. João Gbur,Point(-49.227591 -25.377952),10
"May 29, 2022",BR,Curitiba,R. Raul Pompéia,Point(-49.351371 -25.484532),7
"May 29, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.335679 -25.518126),10
"May 29, 2022",BR,Curitiba,R. Frederico Cantarelli,Point(-49.297171 -25.428875),10
"May 29, 2022",BR,Curitiba,R. Vicente Michelotto,Point(-49.332885 -25.52312),8
"May 29, 2022",BR,Curitiba,Av. Pref. Lothario Meissner,Point(-49.240451 -25.444068),6
"May 29, 2022",BR,Curitiba,R. Carlos Klemtz,Point(-49.317663 -25.475622),7
"May 29, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.209678 -25.473586),7
"May 29, 2022",BR,null,BR-277 S Rod. do Café Gov. Ney Braga,Point(-49.37789 -25.430325),10
"May 29, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.362316 -25.402976),5
"May 29, 2022",BR,Pinhais,R. Rio Amazonas,Point(-49.192588 -25.456691),7
"May 29, 2022",BR,São José dos Pinhais,R. Anneliese Gellert Krigsner,Point(-49.167368 -25.501243),5
"May 29, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.335241 -25.518536),7
"May 29, 2022",BR,null,BR-277 S Rod. do Café Gov. Ney Braga,Point(-49.378485 -25.429715),6
"May 29, 2022",BR,Pinhais,R. Floral,Point(-49.171837 -25.427262),5
"May 29, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,Point(-49.28671 -25.438075),7
"May 29, 2022",BR,São José dos Pinhais,Saída 614A,Point(-49.178763 -25.569299),6
